Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
CT Bancroft,2,4,0,44,16,11,162,27.16,0,0,0,6,0
JA Burns,7,12,1,319,97,29,683,46.7,0,3,2,33,4
PJ Cummins,14,20,3,180,28,10.58,568,31.69,0,0,5,18,1
C Green,4,7,0,236,84,33.71,580,40.68,0,1,1,23,4
MS Harris,4,8,0,101,38,12.62,226,44.69,0,0,0,17,0
JR Hazlewood,11,13,7,57,11,9.5,100,57,0,0,1,9,0
TM Head,11,17,1,490,114,30.62,1023,47.89,1,2,1,62,0
UT Khawaja,3,6,0,122,40,20.33,188,64.89,0,0,0,17,0
M Labuschagne,13,23,0,1675,215,72.82,2999,55.85,5,9,0,186,3
NM Lyon,14,18,5,178,26,13.69,275,64.72,0,0,1,24,3
MR Marsh,1,2,0,41,24,20.5,111,36.93,0,0,0,6,0
TD Paine,14,22,3,550,79,28.94,1077,51.06,0,4,2,65,1
JL Pattinson,4,6,2,85,47,21.25,137,62.04,0,0,1,6,4
WJ Pucovski,1,2,0,72,62,36,126,57.14,0,1,0,6,0
PM Siddle,3,4,1,84,44,28,173,48.55,0,0,0,9,0
SPD Smith,13,22,1,1341,211,63.85,2509,53.44,4,7,1,151,7
MA Starc,10,13,4,219,54,24.33,307,71.33,0,1,0,19,6
MS Wade,14,25,2,727,117,31.6,1354,53.69,2,1,2,89,4
DA Warner,12,22,2,948,335,47.4,1519,62.4,3,1,3,94,1
