Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10,Ct,St
CT Bancroft,2,-,-,-,-,-,-,-,-,-,-,-,-,5,0
JA Burns,7,-,-,-,-,-,-,-,-,-,-,-,-,5,0
PJ Cummins,14,28,555.3,158,1472,70,5/28,7/69,21.02,2.64,47.6,1,0,7,0
C Green,4,6,44.0,7,118,0,-,-,-,2.68,-,0,0,5,0
MS Harris,4,-,-,-,-,-,-,-,-,-,-,-,-,0,0
JR Hazlewood,11,21,385.2,108,986,48,5/8,9/115,20.54,2.55,48.1,3,0,4,0
TM Head,11,4,10.0,3,31,0,-,-,-,3.10,-,0,0,6,0
UT Khawaja,3,-,-,-,-,-,-,-,-,-,-,-,-,3,0
M Labuschagne,13,19,77.0,9,256,3,1/9,1/9,85.33,3.32,154.0,0,0,7,0
NM Lyon,14,27,630.5,131,1757,56,6/49,10/118,31.37,2.78,67.5,4,1,9,0
MR Marsh,1,2,29.2,5,86,7,5/46,7/86,12.28,2.93,25.1,1,0,1,0
TD Paine,14,-,-,-,-,-,-,-,-,-,-,-,-,63,2
JL Pattinson,4,8,114.0,26,302,11,3/34,6/69,27.45,2.64,62.1,0,0,2,0
WJ Pucovski,1,-,-,-,-,-,-,-,-,-,-,-,-,0,0
PM Siddle,3,6,97.0,21,295,7,2/52,3/102,42.14,3.04,83.1,0,0,2,0
SPD Smith,13,5,7.0,1,27,0,-,-,-,3.85,-,0,0,27,0
MA Starc,10,20,340.3,71,1080,44,6/66,9/97,24.54,3.17,46.4,2,0,6,0
MS Wade,14,3,4.0,0,28,0,-,-,-,7.00,-,0,0,11,0
DA Warner,12,-,-,-,-,-,-,-,-,-,-,-,-,15,0

