Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Abu Jayed,2019-2021,6,10,5,17,7*,3.40,73,23.28,0,0,3,1,0
Al-Amin Hossain,2019-2019,1,2,1,22,21,22.00,24,91.66,0,0,0,5,0
Ebadat Hossain,2019-2021,4,6,2,4,2,1.00,28,14.28,0,0,1,0,0
Imrul Kayes,2019-2019,2,4,0,21,6,5.25,61,34.42,0,0,0,2,0
Liton Das,2019-2021,7,12,1,417,71,37.90,673,61.96,0,3,0,52,2
Mahmudullah,2019-2020,3,6,1,95,39*,19.00,176,53.97,0,0,1,15,0
Mehidy Hasan Miraz,2019-2021,6,11,0,317,103,28.81,600,52.83,1,1,1,36,4
Mohammad Mithun,2019-2021,4,8,0,125,63,15.62,326,38.34,0,1,2,14,2
Mominul Haque,2019-2021,7,14,1,534,127,41.07,1193,44.76,2,0,2,58,0
Mushfiqur Rahim,2019-2021,6,11,1,453,74,45.30,888,51.01,0,4,1,56,1
Mustafizur Rahman,2021-2021,1,1,1,3,3*,-,11,27.27,0,0,0,0,0
Nayeem Hasan,2019-2021,3,5,1,58,24,14.50,98,59.18,0,0,1,9,0
Najmul Hossain Shanto,2020-2021,5,10,0,311,163,31.10,724,42.95,1,0,3,36,2
Rubel Hossain,2020-2020,1,2,0,6,5,3.00,35,17.14,0,0,0,1,0
Saif Hassan,2020-2021,3,6,0,76,34,12.66,149,51.00,0,0,2,13,2
Shadman Islam,2019-2021,3,6,0,105,59,17.50,301,34.88,0,1,1,12,0
Shakib Al Hasan,2021-2021,1,1,0,68,68,68.00,150,45.33,0,1,0,5,0
Shoriful Islam,2021-2021,1,2,1,0,0*,0.00,10,0.00,0,0,1,0,0
Soumya Sarkar,2021-2021,1,2,0,13,13,6.50,38,34.21,0,0,1,1,0
Taijul Islam,2019-2021,7,12,1,97,24,8.81,358,27.09,0,0,1,9,0
Tamim Iqbal,2020-2021,5,10,1,420,92,46.66,553,75.94,0,4,1,63,5
Taskin Ahmed,2021-2021,2,3,1,13,7,6.50,53,24.52,0,0,1,1,0

