Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10,Ct,St
Abu Jayed,2019-2021,6,7,154.0,29,546,15,4/98,6/130,36.40,3.54,61.6,0,0,1,0
Al-Amin Hossain,2019-2019,1,1,22.4,3,85,3,3/85,3/85,28.33,3.75,45.3,0,0,0,0
Ebadat Hossain,2019-2021,4,4,98.0,15,402,6,3/91,3/91,67.00,4.10,98.0,0,0,1,0
Imrul Kayes,2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-,0,0
Liton Das,2019-2021,7,-,-,-,-,-,-,-,-,-,-,-,-,14,2
Mahmudullah,2019-2020,3,2,5.0,0,30,0,-,-,-,6.00,-,0,0,1,0
Mehidy Hasan Miraz,2019-2021,6,8,235.0,38,731,15,4/58,8/171,48.73,3.11,94.0,0,0,1,0
Mohammad Mithun,2019-2021,4,-,-,-,-,-,-,-,-,-,-,-,-,3,0
Mominul Haque,2019-2021,7,1,4.0,0,18,0,-,-,-,4.50,-,0,0,0,0
Mushfiqur Rahim,2019-2021,6,-,-,-,-,-,-,-,-,-,-,-,-,3,0
Mustafizur Rahman,2021-2021,1,2,28.0,5,117,2,2/46,2/117,58.50,4.17,84.0,0,0,0,0
Nayeem Hasan,2019-2021,3,4,90.2,13,267,6,3/34,3/108,44.50,2.95,90.3,0,0,0,0
Najmul Hossain Shanto,2020-2021,5,-,-,-,-,-,-,-,-,-,-,-,-,8,0
Rubel Hossain,2020-2020,1,1,25.5,3,113,3,3/113,3/113,37.66,4.37,51.6,0,0,0,0
Saif Hassan,2020-2021,3,2,6.0,0,27,1,1/22,1/22,27.00,4.50,36.0,0,0,0,0
Shadman Islam,2019-2021,3,-,-,-,-,-,-,-,-,-,-,-,-,2,0
Shakib Al Hasan,2021-2021,1,1,6.0,1,16,0,-,-,-,2.66,-,0,0,0,0
Shoriful Islam,2021-2021,1,2,30.0,6,99,1,1/91,1/99,99.00,3.30,180.0,0,0,1,0
Soumya Sarkar,2021-2021,1,1,11.0,1,48,1,1/48,1/48,48.00,4.36,66.0,0,0,2,0
Taijul Islam,2019-2021,7,10,341.5,71,976,23,5/72,8/144,42.43,2.85,89.1,1,0,4,0
Tamim Iqbal,2020-2021,5,-,-,-,-,-,-,-,-,-,-,-,-,2,0
Taskin Ahmed,2021-2021,2,3,68.2,13,265,8,4/127,5/153,33.12,3.87,51.2,0,0,0,0
