Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
MM Ali,2019-2021,2,4,0,53,43,13.25,81,65.43,0,0,1,4,5
JM Anderson,2019-2021,13,18,9,60,11,6.66,156,38.46,0,0,2,7,0
JC Archer,2019-2021,11,17,0,113,23,6.64,241,46.88,0,0,3,16,0
JM Bairstow,2019-2021,11,22,2,450,52,22.50,925,48.64,0,1,3,52,3
DM Bess,2020-2021,12,16,5,208,34,18.90,495,42.02,0,0,3,23,2
SCJ Broad,2019-2021,18,27,11,270,62,16.87,372,72.58,0,1,4,27,10
RJ Burns,2019-2021,15,27,0,813,133,30.11,1808,44.96,1,5,5,98,0
JC Buttler,2019-2021,19,33,2,980,152,31.61,1861,52.65,1,4,2,111,14
Z Crawley,2020-2021,12,21,0,715,267,34.04,1316,54.33,1,4,2,95,1
SM Curran,2019-2021,10,14,1,251,44,19.30,346,72.54,0,0,2,34,5
JL Denly,2019-2020,10,19,0,569,94,29.94,1462,38.91,0,4,0,79,3
BT Foakes,2021-2021,3,6,1,78,42*,15.60,260,30.00,0,0,0,5,0
DW Lawrence,2021-2021,6,12,1,273,73,24.81,594,45.95,0,2,2,27,2
MJ Leach,2019-2021,10,17,5,107,21,8.91,399,26.81,0,0,1,14,1
C Overton,2019-2019,1,2,0,26,21,13.00,120,21.66,0,0,0,2,0
OJ Pope,2020-2021,13,22,3,634,135*,33.36,1186,53.45,1,4,0,72,2
OE Robinson,2021-2021,1,2,0,15,15,7.50,15,100.00,0,0,1,2,0
JE Root,2019-2021,21,39,2,1833,228,49.54,3317,55.26,4,9,3,193,5
JJ Roy,2019-2019,4,8,0,110,31,13.75,229,48.03,0,0,1,16,0
DP Sibley,2019-2021,17,30,2,890,133*,31.78,2540,35.03,2,4,4,99,1
BA Stokes,2019-2021,17,32,3,1334,176,46.00,2308,57.79,4,6,1,142,31
OP Stone,2021-2021,1,2,0,1,1,0.50,9,11.11,0,0,1,0,0
CR Woakes,2019-2020,10,14,2,296,84*,24.66,528,56.06,0,1,2,35,2
MA Wood,2020-2021,5,7,1,105,42,17.50,114,92.10,0,0,0,7,8
