Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10,Ct,St
MM Ali,2019-2021,2,4,103.0,14,398,11,4/98,8/226,36.18,3.86,56.1,0,0,1,0
JM Anderson,2019-2021,13,22,359.5,118,827,43,6/40,7/63,19.23,2.29,50.2,3,0,6,0
JC Archer,2019-2021,11,21,352.5,71,1095,40,6/45,8/85,27.37,3.10,52.9,3,0,1,0
JM Bairstow,2019-2021,11,-,-,-,-,-,-,-,-,-,-,-,-,26,2
DM Bess,2020-2021,12,19,385.2,81,1102,33,5/30,8/130,33.39,2.85,70.0,2,0,2,0
SCJ Broad,2019-2021,18,34,524.3,136,1474,70,6/31,10/67,21.05,2.81,44.9,2,1,6,0
RJ Burns,2019-2021,15,-,-,-,-,-,-,-,-,-,-,-,-,13,0
JC Buttler,2019-2021,19,-,-,-,-,-,-,-,-,-,-,-,-,58,1
Z Crawley,2020-2021,12,-,-,-,-,-,-,-,-,-,-,-,-,10,0
SM Curran,2019-2021,10,18,223.1,50,709,20,4/58,5/109,35.45,3.17,66.9,0,0,5,0
JL Denly,2019-2020,10,8,49.0,10,162,2,2/42,2/42,81.00,3.30,147.0,0,0,6,0
BT Foakes,2021-2021,3,-,-,-,-,-,-,-,-,-,-,-,-,4,3
DW Lawrence,2021-2021,6,2,3.0,0,17,0,-,-,-,5.66,-,0,0,1,0
MJ Leach,2019-2021,10,18,373.3,60,1182,40,5/122,6/177,29.55,3.16,56.0,1,0,5,0
C Overton,2019-2019,1,2,33.5,4,107,2,2/85,2/107,53.50,3.16,101.5,0,0,0,0
OJ Pope,2020-2021,13,-,-,-,-,-,-,-,-,-,-,-,-,14,0
OE Robinson,2021-2021,1,2,30.5,6,106,5,5/85,5/106,21.20,3.43,37.0,1,0,0,0
JE Root,2019-2021,21,22,160.1,32,514,16,5/8,5/33,32.12,3.20,60.0,1,0,35,0
JJ Roy,2019-2019,4,-,-,-,-,-,-,-,-,-,-,-,-,1,0
DP Sibley,2019-2021,17,1,1.0,0,7,0,-,-,-,7.00,-,0,0,8,0
BA Stokes,2019-2021,17,24,271.3,54,893,34,4/49,6/88,26.26,3.28,47.9,0,0,25,0
OP Stone,2021-2021,1,2,22.4,6,68,4,3/47,4/68,17.00,3.00,34.0,0,0,1,0
CR Woakes,2019-2020,10,19,259.0,56,764,30,5/50,6/107,25.46,2.94,51.8,1,0,4,0
MA Wood,2020-2021,5,9,147.3,27,427,17,5/46,9/100,25.11,2.89,52.0,1,0,2,0
