Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10,Ct,St
MA Agarwal,2019-2021,12,-,-,-,-,-,-,-,-,-,-,-,-,8,0
R Ashwin,2019-2021,14,26,549.4,105,1444,71,7/145,9/207,20.33,2.62,46.4,4,0,4,0
JJ Bumrah,2019-2021,11,21,352.5,83,964,43,6/27,9/110,22.41,2.73,49.2,3,0,3,0
RA Jadeja,2019-2021,12,23,307.3,72,898,29,4/62,6/211,30.96,2.92,63.6,0,0,8,0
V Kohli,2019-2021,16,2,2.0,0,8,0,-,-,-,4.00,-,0,0,18,0
Kuldeep Yadav,2021-2021,1,2,12.2,2,41,2,2/25,2/41,20.50,3.32,37.0,0,0,0,0
Mohammed Shami,2019-2021,12,22,309.1,70,919,44,5/35,7/58,20.88,2.97,42.1,1,0,4,0
Mohammed Siraj,2020-2021,6,12,197.2,44,584,19,5/73,6/150,30.73,2.95,62.3,1,0,4,0
S Nadeem,2019-2021,2,4,76.2,11,273,8,2/18,4/40,34.12,3.57,57.2,0,0,1,0
T Natarajan,2021-2021,1,2,38.2,7,119,3,3/78,3/119,39.66,3.10,76.6,0,0,0,0
RR Pant,2019-2021,13,-,-,-,-,-,-,-,-,-,-,-,-,42,6
AR Patel,2021-2021,3,6,127.4,27,286,27,6/38,11/70,10.59,2.24,28.3,4,1,1,0
CA Pujara,2019-2021,19,-,-,-,-,-,-,-,-,-,-,-,-,12,0
AM Rahane,2019-2021,19,-,-,-,-,-,-,-,-,-,-,-,-,24,0
KL Rahul,2019-2021,3,-,-,-,-,-,-,-,-,-,-,-,-,4,0
WP Saha,2019-2020,6,-,-,-,-,-,-,-,-,-,-,-,-,17,1
NA Saini,2021-2021,2,4,41.5,5,172,4,2/54,4/119,43.00,4.11,62.7,0,0,1,0
I Sharma,2019-2021,12,22,249.2,66,694,39,5/22,9/78,17.79,2.78,38.3,3,0,3,0
RG Sharma,2019-2021,13,6,8.1,2,22,0,-,-,-,2.69,-,0,0,17,0
PP Shaw,2020-2020,3,-,-,-,-,-,-,-,-,-,-,-,-,0,0
Shubman Gill,2020-2021,8,-,-,-,-,-,-,-,-,-,-,-,-,5,0
SN Thakur,2021-2021,2,4,69.0,12,233,11,4/61,7/155,21.18,3.37,37.6,0,0,2,0
GH Vihari,2019-2021,8,3,12.0,1,48,0,-,-,-,4.00,-,0,0,2,0
Washington Sundar,2021-2021,4,7,87.4,10,299,6,3/89,4/169,49.83,3.41,87.6,0,0,1,0
UT Yadav,2019-2020,7,14,160.2,27,538,29,5/53,8/82,18.55,3.35,33.1,1,0,3,0
