Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
TD Astle,2020-2020,1,2,1,42,25*,42.00,81,51.85,0,0,0,6,0
TA Blundell,2019-2021,8,13,1,402,121,33.50,892,45.06,1,2,0,51,1
TA Boult,2019-2021,10,8,3,112,38,22.40,114,98.24,0,0,0,9,5
DP Conway,2021-2021,1,2,0,73,54,36.50,200,36.50,0,1,0,10,0
C de Grandhomme,2019-2021,7,10,0,313,83,31.30,448,69.86,0,2,0,30,7
LH Ferguson,2019-2019,1,2,2,1,1*,-,9,11.11,0,0,0,0,0
MJ Henry,2020-2021,2,1,0,3,3,3.00,15,20.00,0,0,0,0,0
KA Jamieson,2020-2021,7,7,2,247,51*,49.40,336,73.51,0,1,0,19,10
TWM Latham,2019-2021,12,20,1,719,154,37.84,1601,44.90,1,5,1,74,2
DJ Mitchell,2020-2021,3,3,1,153,102*,76.50,217,70.50,1,0,0,14,2
HM Nicholls,2019-2021,11,16,1,592,174,39.46,1191,49.70,2,1,1,60,3
AY Patel,2019-2020,3,3,1,18,14,9.00,44,40.90,0,0,1,2,0
GD Phillips,2020-2020,1,2,0,52,52,26.00,119,43.69,0,1,1,6,1
JA Raval,2019-2020,4,7,0,82,33,11.71,215,38.13,0,0,1,8,0
MJ Santner,2019-2020,4,8,1,82,27,11.71,230,35.65,0,0,1,9,1
WER Somerville,2019-2020,3,4,2,56,40*,28.00,161,34.78,0,0,1,4,0
TG Southee,2019-2021,11,13,2,143,30,13.00,236,60.59,0,0,2,10,6
LRPL Taylor,2019-2021,12,19,3,527,86,32.93,981,53.72,0,3,0,62,2
N Wagner,2019-2021,8,10,4,138,66*,23.00,159,86.79,0,1,3,16,6
BJ Watling,2019-2021,11,16,1,418,105*,27.86,1023,40.86,1,2,1,42,0
KS Williamson,2019-2021,10,16,1,918,251,61.20,1698,54.06,3,2,2,114,3
WA Young,2020-2020,2,2,0,48,43,24.00,98,48.97,0,0,0,5,0

