Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10,Ct,St
TD Astle,2020-2020,1,2,40.0,1,152,3,2/111,3/152,50.66,3.80,80.0,0,0,1,0
TA Blundell,2019-2021,8,1,3.0,0,13,0,-,-,-,4.33,-,0,0,5,0
TA Boult,2019-2021,10,20,370.3,80,1082,39,4/28,6/117,27.74,2.92,57.0,0,0,3,0
DP Conway,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-,0,0
C de Grandhomme,2019-2021,7,13,185.0,42,436,11,3/78,3/121,39.63,2.35,100.9,0,0,3,0
LH Ferguson,2019-2019,1,1,11.0,1,47,0,-,-,-,4.27,-,0,0,0,0
MJ Henry,2020-2021,2,4,76.0,12,241,3,1/54,2/148,80.33,3.17,152.0,0,0,1,0
KA Jamieson,2020-2021,7,14,246.2,92,539,43,6/48,11/117,12.53,2.18,34.3,5,1,2,0
TWM Latham,2019-2021,12,-,-,-,-,-,-,-,-,-,-,-,-,19,0
DJ Mitchell,2020-2021,3,4,14.0,2,41,1,1/7,1/7,41.00,2.92,84.0,0,0,1,0
HM Nicholls,2019-2021,11,-,-,-,-,-,-,-,-,-,-,-,-,7,0
AY Patel,2019-2020,3,6,92.0,15,267,9,5/89,6/163,29.66,2.90,61.3,1,0,1,0
GD Phillips,2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-,1,0
JA Raval,2019-2020,4,1,13.0,1,33,1,1/33,1/33,33.00,2.53,78.0,0,0,3,0
MJ Santner,2019-2020,4,8,118.3,13,378,3,2/52,2/59,126.00,3.18,237.0,0,0,7,0
WER Somerville,2019-2020,3,6,119.2,20,360,8,3/83,4/156,45.00,3.01,89.5,0,0,0,0
TG Southee,2019-2021,11,22,431.3,117,1166,56,5/32,9/110,20.82,2.70,46.2,3,0,11,0
LRPL Taylor,2019-2021,12,-,-,-,-,-,-,-,-,-,-,-,-,21,0
N Wagner,2019-2021,8,16,312.3,69,804,35,4/66,7/133,22.97,2.57,53.5,0,0,2,0
BJ Watling,2019-2021,11,-,-,-,-,-,-,-,-,-,-,-,-,47,1
KS Williamson,2019-2021,10,3,8.0,1,26,1,1/16,1/16,26.00,3.25,48.0,0,0,6,0
WA Young,2020-2020,2,-,-,-,-,-,-,-,-,-,-,-,-,1,0
