Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Abid Ali,10,17,1,569,174,35.56,1275,44.62,2,1,2,66,2
Asad Shafiq,8,11,0,337,76,30.63,666,50.60,0,4,1,34,0
Azhar Ali,12,21,2,748,141*,39.36,1687,44.33,2,2,3,89,0
Babar Azam,10,17,3,932,143,66.57,1453,64.14,4,5,0,114,3
Faheem Ashraf,4,7,1,357,91,59.50,608,58.71,0,3,0,56,1
Fawad Alam,6,11,2,320,109,35.55,887,36.07,2,0,1,34,2
Haris Sohail,6,8,0,121,75,15.12,273,44.32,0,1,0,10,3
Hasan Ali,2,3,0,34,21,11.33,80,42.50,0,0,0,3,0
Iftikhar Ahmed,2,4,0,44,27,11.00,118,37.28,0,0,1,3,0
Imam-ul-Haq,1,2,0,2,2,1.00,25,8.00,0,0,1,0,0
Imran Butt,2,4,0,36,15,9.00,104,34.61,0,0,1,7,0
Imran Khan,1,2,1,10,5*,10.00,23,43.47,0,0,0,2,0
Mohammad Abbas,9,12,3,46,29,5.11,273,16.84,0,0,2,5,1
Mohammad Rizwan,12,18,2,741,115*,46.31,1418,52.25,1,6,1,89,1
Muhammad Musa,1,2,2,16,12*,-,17,94.11,0,0,0,3,0
Naseem Shah,9,12,5,28,12,4.00,88,31.81,0,0,2,5,0
Nauman Ali,2,3,0,77,45,25.66,163,47.23,0,0,0,10,2
Shadab Khan,1,2,0,60,45,30.00,98,61.22,0,0,0,5,0
Shaheen Shah Afridi,12,17,2,62,10,4.13,235,26.38,0,0,5,9,0
Shan Masood,10,17,0,585,156,34.41,1234,47.40,3,1,5,55,6
Usman Shinwari,1,-,-,-,-,-,-,-,-,-,-,-,-
Yasir Shah,10,15,1,335,113,23.92,621,53.94,1,0,2,40,2
Zafar Gohar,1,2,0,71,37,35.50,126,56.34,0,0,0,13,0
