Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
M Bhanuka,2021-2021,1,2,0,6,5,3.00,17,35.29,0,0,0,1,0
PVD Chameera,2021-2021,3,5,0,32,22,6.40,81,39.50,0,0,1,4,0
LD Chandimal,2019-2021,7,13,1,359,85,29.91,812,44.21,0,3,0,42,1
A Dananjaya,2019-2019,1,1,0,0,0,0.00,8,0.00,0,0,1,0,0
DM de Silva,2019-2021,9,14,3,653,166,59.36,1132,57.68,3,2,1,85,5
PWH de Silva,2020-2021,4,7,0,196,59,28.00,227,86.34,0,1,0,29,1
N Dickwella,2019-2021,12,20,1,753,96,39.63,1273,59.15,0,6,1,80,1
L Embuldeniya,2019-2021,7,12,1,88,40,8.00,199,44.22,0,0,4,10,3
AM Fernando,2021-2021,3,6,3,4,4,1.33,32,12.50,0,0,2,1,0
BOP Fernando,2019-2021,7,12,1,430,102,39.09,922,46.63,1,3,1,51,1
MVT Fernando,2019-2021,8,10,6,9,5*,2.25,81,11.11,0,0,4,0,0
P Jayawickrama,2021-2021,1,1,1,3,3*,-,5,60.00,0,0,0,0,0
FDM Karunaratne,2019-2021,10,18,0,999,244,55.50,1873,53.33,4,4,0,115,2
CBRLS Kumara,2019-2021,6,7,5,5,5*,2.50,38,13.15,0,0,2,0,0
RAS Lakmal,2019-2021,7,10,2,126,40,15.75,284,44.36,0,0,1,9,5
AD Mathews,2019-2021,8,14,1,405,110,31.15,988,40.99,1,2,0,37,3
BKG Mendis,2019-2021,7,13,0,165,53,12.69,399,41.35,0,1,5,20,2
RTM Mendis,2021-2021,2,4,0,57,33,14.25,107,53.27,0,0,1,6,0
P Nissanka,2021-2021,4,6,0,229,103,38.16,533,42.96,1,1,0,18,0
MDK Perera,2019-2021,5,9,1,177,67,22.12,415,42.65,0,1,2,23,2
MDKJ Perera,2019-2021,6,12,0,267,64,22.25,396,67.42,0,3,2,38,1
CAK Rajitha,2019-2020,2,2,0,12,12,6.00,76,15.78,0,0,1,2,0
MD Shanaka,2020-2021,3,6,1,111,66*,22.20,216,51.38,0,1,0,7,5
HDRL Thirimanne,2019-2021,9,17,0,735,140,43.23,1757,41.83,2,5,1,74,0
