Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10,Ct,St
M Bhanuka,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-,0,0
PVD Chameera,2021-2021,3,5,93.1,9,311,8,3/69,5/143,38.87,3.33,69.8,0,0,0,0
LD Chandimal,2019-2021,7,-,-,-,-,-,-,-,-,-,-,-,-,2,0
A Dananjaya,2019-2019,1,2,62.0,7,164,6,5/80,6/164,27.33,2.64,62.0,1,0,0,0
DM de Silva,2019-2021,9,13,149.0,20,472,6,3/25,3/45,78.66,3.16,149.0,0,0,11,0
PWH de Silva,2020-2021,4,7,112.2,8,403,4,4/171,4/171,100.75,3.58,168.5,0,0,2,0
N Dickwella,2019-2021,12,-,-,-,-,-,-,-,-,-,-,-,-,28,3
L Embuldeniya,2019-2021,7,12,366.3,52,1229,30,7/137,10/210,40.96,3.35,73.3,1,1,1,0
AM Fernando,2021-2021,3,4,47.0,9,156,4,2/44,2/44,39.00,3.31,70.5,0,0,0,0
BOP Fernando,2019-2021,7,1,1.0,0,3,0,-,-,-,3.00,-,0,0,5,0
MVT Fernando,2019-2021,8,13,231.3,32,816,19,5/101,5/124,42.94,3.52,73.1,1,0,2,0
P Jayawickrama,2021-2021,1,2,64.0,17,178,11,6/92,11/178,16.18,2.78,34.9,2,1,0,0
FDM Karunaratne,2019-2021,10,3,8.5,0,53,0,-,-,-,6.00,-,0,0,5,0
CBRLS Kumara,2019-2021,6,8,155.1,19,608,12,4/49,6/188,50.66,3.91,77.5,0,0,2,0
RAS Lakmal,2019-2021,7,12,207.2,67,511,20,5/47,6/156,25.55,2.46,62.2,1,0,2,0
AD Mathews,2019-2021,8,2,9.0,1,21,0,-,-,-,2.33,-,0,0,1,0
BKG Mendis,2019-2021,7,2,8.0,0,55,0,-,-,-,6.87,-,0,0,8,0
RTM Mendis,2021-2021,2,4,85.0,10,285,8,4/103,6/189,35.62,3.35,63.7,0,0,0,0
P Nissanka,2021-2021,4,-,-,-,-,-,-,-,-,-,-,-,-,1,0
MDK Perera,2019-2021,5,8,182.1,14,584,8,4/109,4/143,73.00,3.20,136.6,0,0,0,0
MDKJ Perera,2019-2021,6,-,-,-,-,-,-,-,-,-,-,-,-,2,0
CAK Rajitha,2019-2020,2,2,8.1,2,21,1,1/5,1/5,21.00,2.57,49.0,0,0,0,0
MD Shanaka,2020-2021,3,4,53.5,7,170,4,2/42,2/50,42.50,3.15,80.7,0,0,3,0
HDRL Thirimanne,2019-2021,9,-,-,-,-,-,-,-,-,-,-,-,-,15,0
