Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
T Bavuma,2019-2021,8,14,1,381,71,29.30,816,46.69,0,2,2,43,1
TB de Bruyn,2019-2019,3,5,0,82,30,16.40,175,46.85,0,0,0,15,1
Q de Kock,2019-2021,13,23,1,847,141*,38.50,1281,66.12,2,5,3,107,13
F du Plessis,2019-2021,11,20,0,555,199,27.75,1152,48.17,1,2,0,78,4
D Elgar,2019-2021,13,24,2,935,160,42.50,1717,54.45,2,4,3,137,4
BE Hendricks,2020-2020,1,2,1,9,5*,9.00,18,50.00,0,0,0,1,0
H Klaasen,2019-2019,1,2,0,11,6,5.50,34,32.35,0,0,0,1,0
GF Linde,2019-2021,3,6,0,135,37,22.50,255,52.94,0,0,0,19,2
KA Maharaj,2019-2021,11,19,0,293,73,15.42,628,46.65,0,3,5,34,5
PJ Malan,2020-2020,3,6,0,156,84,26.00,530,29.43,0,1,0,11,0
AK Markram,2019-2021,9,16,1,466,108,31.06,954,48.84,1,3,3,67,4
PWA Mulder,2020-2021,5,7,0,129,36,18.42,306,42.15,0,0,1,16,2
S Muthusamy,2019-2019,2,4,2,98,49*,49.00,278,35.25,0,0,0,10,0
L Ngidi,2019-2021,6,9,4,34,14*,6.80,88,38.63,0,0,2,6,0
A Nortje,2019-2021,12,21,4,115,40,6.76,481,23.90,0,0,5,15,0
D Paterson,2020-2020,2,4,3,43,39*,43.00,49,87.75,0,0,0,7,0
KD Petersen,2021-2021,2,3,0,44,19,14.66,89,49.43,0,0,0,4,0
VD Philander,2019-2020,6,12,2,241,46,24.10,657,36.68,0,0,2,30,2
DL Piedt,2019-2019,2,4,0,83,56,20.75,198,41.91,0,1,1,11,2
D Pretorius,2019-2020,3,6,0,83,37,13.83,163,50.92,0,0,1,13,1
K Rabada,2019-2021,10,19,4,186,40,12.40,299,62.20,0,0,4,29,5
L Sipamla,2020-2021,2,2,0,5,5,2.50,20,25.00,0,0,1,1,0
HE van der Dussen,2019-2021,10,17,1,610,98,38.12,1413,43.17,0,6,2,74,4
K Verreynne,2021-2021,2,3,0,39,27,13.00,116,33.62,0,0,0,3,0
Zubayr Hamza,2019-2020,4,8,0,140,62,17.50,270,51.85,0,1,1,20,1
