Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10,Ct,St
T Bavuma,2019-2021,8,-,-,-,-,-,-,-,-,-,-,-,-,4,0
TB de Bruyn,2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-,1,0
Q de Kock,2019-2021,13,-,-,-,-,-,-,-,-,-,-,-,-,48,2
F du Plessis,2019-2021,11,-,-,-,-,-,-,-,-,-,-,-,-,10,0
D Elgar,2019-2021,13,4,7.1,0,42,1,1/4,1/4,42.00,5.86,43.0,0,0,15,0
BE Hendricks,2020-2020,1,2,38.3,5,175,6,5/64,6/175,29.16,4.54,38.5,1,0,0,0
H Klaasen,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,3,1
GF Linde,2019-2021,3,5,78.5,17,252,9,5/64,5/68,28.00,3.19,52.5,1,0,0,0
KA Maharaj,2019-2021,11,18,467.4,92,1493,35,5/36,7/83,42.65,3.19,80.1,2,0,4,0
PJ Malan,2020-2020,3,1,2.0,0,5,0,-,-,-,2.50,-,0,0,3,0
AK Markram,2019-2021,9,3,8.0,2,33,0,-,-,-,4.12,-,0,0,9,0
PWA Mulder,2020-2021,5,10,92.0,23,283,13,3/1,5/108,21.76,3.07,42.4,0,0,7,0
S Muthusamy,2019-2019,2,3,37.3,2,180,2,1/63,1/83,90.00,4.80,112.5,0,0,2,0
L Ngidi,2019-2021,6,11,137.5,31,453,17,5/19,5/50,26.64,3.28,48.6,1,0,3,0
A Nortje,2019-2021,12,21,363.4,64,1321,47,6/56,8/120,28.10,3.63,46.4,3,0,4,0
D Paterson,2020-2020,2,3,57.5,11,166,4,2/86,3/104,41.50,2.87,86.7,0,0,1,0
KD Petersen,2021-2021,2,-,-,-,-,-,-,-,-,-,-,-,-,3,0
VD Philander,2019-2020,6,10,161.5,49,368,10,4/16,4/51,36.80,2.27,97.1,0,0,0,0
DL Piedt,2019-2019,2,3,54.0,7,310,2,1/101,1/101,155.00,5.74,162.0,0,0,1,0
D Pretorius,2019-2020,3,6,80.0,22,252,7,2/26,3/82,36.00,3.15,68.5,0,0,2,0
K Rabada,2019-2021,10,17,325.5,70,1013,37,5/34,7/171,27.37,3.10,52.8,1,0,2,0
L Sipamla,2020-2021,2,4,39.5,5,167,10,4/76,6/100,16.70,4.19,23.9,0,0,1,0
HE van der Dussen,2019-2021,10,-,-,-,-,-,-,-,-,-,-,-,-,15,0
K Verreynne,2021-2021,2,-,-,-,-,-,-,-,-,-,-,-,-,2,0
Zubayr Hamza,2019-2020,4,-,-,-,-,-,-,-,-,-,-,-,-,3,0
