Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
J Blackwood,2019-2021,12,23,0,709,104,30.82,1322,53.63,1,4,1,82,6
NE Bonner,2021-2021,5,8,1,385,113*,55.00,1008,38.19,1,2,1,41,2
KC Brathwaite,2019-2021,13,26,0,673,126,25.88,1699,39.61,1,4,2,64,0
DM Bravo,2019-2020,4,8,1,79,23*,11.28,173,45.66,0,0,0,11,1
SSJ Brooks,2019-2020,7,14,0,311,68,22.21,738,42.14,0,3,2,39,3
JD Campbell,2019-2021,11,22,1,390,68,18.57,855,45.61,0,1,1,46,2
RL Chase,2019-2021,9,17,0,320,62,18.82,806,39.70,0,2,3,35,2
RRS Cornwall,2019-2021,7,12,2,181,73,18.10,272,66.54,0,2,1,24,3
ML Cummins,2019-2019,1,2,1,19,19*,19.00,67,28.35,0,0,1,2,1
J Da Silva,2020-2021,7,13,1,317,92,26.41,819,38.70,0,2,2,33,1
SO Dowrich,2020-2020,4,6,0,126,61,21.00,236,53.38,0,1,2,15,0
ST Gabriel,2019-2021,12,20,11,21,8,2.33,97,21.64,0,0,5,3,0
JN Hamilton,2019-2019,1,2,0,5,5,2.50,61,8.19,0,0,1,0,0
SO Hetmyer,2019-2019,2,4,0,71,35,17.75,121,58.67,0,0,0,10,0
CK Holder,2020-2020,1,2,2,21,13*,-,37,56.75,0,0,0,3,0
JO Holder,2019-2021,11,22,4,493,71*,27.38,892,55.26,0,2,1,67,3
SD Hope,2019-2021,6,12,0,203,43,16.91,541,37.52,0,0,0,24,0
JNT Seales,2021-2021,2,4,1,10,7,3.33,37,27.02,0,0,1,1,0
AS Joseph,2020-2021,7,11,0,289,86,26.27,389,74.29,0,2,3,30,12
KR Mayers,2021-2021,6,12,1,521,210*,47.36,832,62.62,1,2,0,64,9
S Moseley,2021-2021,2,4,0,28,12,7.00,105,26.66,0,0,0,3,0
KOA Powell,2021-2021,2,3,0,70,51,23.33,155,45.16,0,1,0,13,0
KAJ Roach,2019-2021,11,19,5,133,38,9.50,330,40.30,0,0,4,13,8
JA Warrican,2021-2021,2,3,0,8,4,2.66,31,25.80,0,0,0,1,0
